,game_id,season,season_type,week,game_date,home_team,away_team,final_home_score,final_away_score,score_diff,home_win,home_plays,home_pass_plays,home_rush_plays,home_yards_total,home_epa_total,home_epa_mean,home_success_rate,home_touchdowns,home_interceptions,home_fumbles_lost,home_explosive_plays,away_plays,away_pass_plays,away_rush_plays,away_yards_total,away_epa_total,away_epa_mean,away_success_rate,away_touchdowns,away_interceptions,away_fumbles_lost,away_explosive_plays,underdog_win,underdog_team,spread_home,spread_away
48,2005_05_CAR_ARI,2005,REG,5,2005-10-09,ARI,CAR,20,24,-4,0,94,51,26,464.0,-8.293728558622822,-0.0882311548789662,0.39361702127659576,2,3,1,7,78,32,26,330.0,-1.5123142423867673,-0.01938864413316368,0.45569620253164556,3,1,1,2,0.0,ARI,3.0,-3.0
49,2005_05_CHI_CLE,2005,REG,5,2005-10-09,CLE,CHI,20,10,10,1,78,40,22,278.0,-10.672706740136828,-0.1368295735914978,0.4177215189873418,2,2,0,3,81,32,32,266.0,-19.093754361841874,-0.23572536249187498,0.37037037037037035,1,0,3,3,0.0,CHI,-3.0,3.0
50,2005_05_CIN_JAX,2005,REG,5,2005-10-09,JAX,CIN,23,20,3,1,83,26,35,342.0,-0.46056045363340664,-0.005548921128113333,0.47619047619047616,2,0,1,2,87,39,26,364.0,-1.0471640504399264,-0.012036368395861223,0.42528735632183906,2,0,1,2,0.0,CIN,-3.0,3.0
51,2005_05_IND_SF,2005,REG,5,2005-10-09,SF,IND,3,28,-25,0,73,31,27,177.0,-22.19523203663993,-0.3040442744745196,0.3698630136986301,1,4,1,3,76,33,27,365.0,6.178811967286113,0.08130015746429096,0.5064935064935064,3,2,1,2,0.0,SF,14.0,-14.0
52,2005_05_MIA_BUF,2005,REG,5,2005-10-09,BUF,MIA,20,14,6,1,89,36,37,236.0,5.8368049478306485,0.0655820780655129,0.47191011235955055,2,0,1,1,79,36,21,323.0,1.167604389382432,0.014779802397245974,0.43209876543209874,2,3,2,6,0.0,MIA,-2.5,2.5
53,2005_05_NE_ATL,2005,REG,5,2005-10-09,ATL,NE,28,31,-3,0,88,42,26,402.0,11.530133896969856,0.1310242488292029,0.48314606741573035,3,0,0,5,84,34,30,483.0,18.483560219531597,0.22004238356585235,0.6071428571428571,4,1,0,5,0.0,NE,-2.5,2.5
54,2005_05_PHI_DAL,2005,REG,5,2005-10-09,DAL,PHI,33,10,23,1,101,40,46,456.0,7.380610815766361,0.07307535461154813,0.4803921568627451,4,0,1,2,65,37,8,129.0,-13.302840345531756,-0.2046590822389501,0.35384615384615387,0,0,0,3,1.0,DAL,3.5,-3.5
55,2005_05_TB_NYJ,2005,REG,5,2005-10-09,NYJ,TB,14,12,2,1,67,24,26,212.0,-2.1490253440130673,-0.032075005134523396,0.47761194029850745,2,1,1,2,92,48,25,285.0,-1.7570605156943122,-0.019098483866242525,0.43010752688172044,0,1,1,2,1.0,NYJ,3.5,-3.5
56,2005_05_TEN_HOU,2005,REG,5,2005-10-09,HOU,TEN,20,34,-14,0,86,41,25,259.0,1.501188751727614,0.01745568315962342,0.4367816091954023,1,1,0,1,85,34,32,310.0,17.282828007549604,0.20332738832411298,0.4823529411764706,4,0,0,1,1.0,TEN,-1.5,1.5
57,2005_05_WAS_DEN,2005,REG,5,2005-10-09,DEN,WAS,21,19,2,1,75,27,26,257.0,3.3927793151455665,0.04523705753527422,0.42105263157894735,3,0,0,3,102,61,24,447.0,3.957551145511616,0.03879952103442761,0.4803921568627451,2,0,1,4,0.0,WAS,-7.0,7.0
